"","locality","decimalLatitude","decimalLongitude","locationID","tmp_vatnLnr"
"243","Jonsvatnet",63.3644386008295,10.588726021265,"NVE:vatnLnr:910",910
"244","Stor-Leirsjøen",63.3842761596138,10.2799770804806,"NVE:vatnLnr:37410",37410
"245","Lianvatnet",63.4006924562818,10.3179545984788,"NVE:vatnLnr:37382",37382
"246","Damvatnet",63.4367346518604,10.2142513862748,"NVE:vatnLnr:37316",37316
"247","Kongensåsvatnet",63.4370649707161,10.2257843012807,"NVE:vatnLnr:37315",37315
"248","Skjellbreia",63.3965764686157,10.243546322283,"NVE:vatnLnr:37386",37386
"249","Laugen",63.2704270644492,10.0390720122083,"NVE:vatnLnr:888",888
"250","Malmsjøen",63.2282309731198,10.0886147933224,"NVE:vatnLnr:891",891
"251","Skjeggstadvatnet",63.1749841084901,10.1766926787344,"NVE:vatnLnr:37661",37661
"252","Grøtvatnet",63.1427616234136,10.1604637883185,"NVE:vatnLnr:878",878
"253","Gaustadvatnet",63.1544969117415,10.1097595470188,"NVE:vatnLnr:890",890
"254","Benna",63.1719062770098,10.2177779744701,"NVE:vatnLnr:877",877
"255","Ånøya",63.2110045377917,10.1498312273021,"NVE:vatnLnr:889",889
"256","Ringavatnet",63.1712315329065,9.54507134372437,"NVE:vatnLnr:956",956
"257","Gangåsvatnet",63.2715847862861,9.65000340892107,"NVE:vatnLnr:963",963
"258","Søvatnet",63.2200699334187,9.37987501318996,"NVE:vatnLnr:976",976
"259","Svorksjøan",63.2357791436226,9.51066690498304,"NVE:vatnLnr:964",964
"260","Svorksjøan",63.232043937815,9.48610462630539,"NVE:vatnLnr:38074",38074
"261","Ålvatnet",63.2995982256893,9.7901245633717,"NVE:vatnLnr:37528",37528
"262","Hostovatnet",63.1895250103969,9.56515328467892,"NVE:vatnLnr:955",955
"263","Frostadvatnet",63.4844839177254,9.74351717314143,"NVE:vatnLnr:37281",37281
"264","Utnesvatnet",63.4947874911077,9.75640019444109,"NVE:vatnLnr:37268",37268
"265","Vasslivatnet",63.2131796123178,9.27676480288508,"NVE:vatnLnr:980",980
"266","Bjørkåsvatnet",63.5998692516247,8.92438604162829,"NVE:vatnLnr:36078",36078
"267","Dragvatnet",63.6368584660172,9.09030873871607,"NVE:vatnLnr:36041",36041
"268","Setervatnet",63.5421560021927,8.73155251376919,"NVE:vatnLnr:36130",36130
"269","Blåskogvatnet",63.5739087284596,8.90041638631196,"NVE:vatnLnr:973",973
"270","Larsskogvatnet",63.5688773845632,8.92708835836844,"NVE:vatnLnr:36106",36106
"271","Hestvatnet",63.7157909630952,8.78261961523924,"NVE:vatnLnr:35996",35996
"272","Ytre Damvatnet",63.7017620051735,8.67943804656943,"NVE:vatnLnr:36011",36011
"273","Indre Damvatnet",63.698681461683,8.6794399777642,"NVE:vatnLnr:36015",36015
"274","Blåbærvatnet",63.709324413675,8.66381887212911,"NVE:vatnLnr:36001",36001
"275","Kvernhusvatnet",63.6882534287206,8.40059631234367,"NVE:vatnLnr:36021",36021
"276","Kystadvatnet",63.6886000535265,8.42911626370497,"NVE:vatnLnr:36019",36019
"277","Eidsvatnet",63.7380124743274,9.83880720686887,"NVE:vatnLnr:37048",37048
"278","Ytter Langvatna",63.7246121495794,10.1595269462033,"NVE:vatnLnr:37069",37069
"279","Inner Langvatna",63.736409193973,10.2002664871898,"NVE:vatnLnr:37054",37054
"280","Holvatnet",63.81433659585,10.3587166000695,"NVE:vatnLnr:653",653
"281","Kringsvatnet",63.8029897606232,10.2367760683423,"NVE:vatnLnr:67922",67922
"282","Nordsetervatnet",63.8248557614475,10.2338382207831,"NVE:vatnLnr:36917",36917
"283","Rødsjøvatnet",63.7860232720563,10.2361831192318,"NVE:vatnLnr:652",652
"284","Ytter Osavatnet",63.7564785114991,10.1897024327599,"NVE:vatnLnr:649",649
"285","Inner Osavatnet",63.7594014076429,10.221272374844,"NVE:vatnLnr:650",650
"286","Brulivatnet",63.9013079521293,10.0837077541754,"NVE:vatnLnr:666",666
"287","Trappvatna, østre",64.0562438834169,10.3189586162457,"NVE:vatnLnr:41807",41807
"288","Trappvatna, vestre",64.0534656414384,10.2822153918599,"NVE:vatnLnr:41821",41821
"289","Nittavatnet",64.053969085187,10.3880489075854,"NVE:vatnLnr:41801",41801
"290","Austdalsvatna",63.8787180007056,10.2225576157213,"NVE:vatnLnr:36820",36820
"291","Mørrivatnet",63.911941755648,10.2255327805063,"NVE:vatnLnr:36763",36763
"292","Stordalsvatnet",63.9740502235776,10.3287563876341,"NVE:vatnLnr:663",663
"293","Laksvatnet",64.0182039324755,10.4285016029666,"NVE:vatnLnr:41899",41899
"294","Søre Berdalsvatnet",64.0058129070306,10.2974492576832,"NVE:vatnLnr:664",664
"295","Nordtjønna",64.0405028154885,10.3359380435641,"NVE:vatnLnr:41851",41851
"296","Lavatnet",64.0361701393464,10.1484203358041,"NVE:vatnLnr:41864",41864
"297","Salbuvikvatnet",64.0508802328847,10.103384002906,"NVE:vatnLnr:41835",41835
"298","Kiplesundvatnet",63.3296472691094,8.44833413871976,"NVE:vatnLnr:36408",36408
"299","Lesundvatnet",63.3393592909722,8.49989672793958,"NVE:vatnLnr:36397",36397
"300","Ledalsvatnet",63.4057343164854,8.73434521095945,"NVE:vatnLnr:66090",66090
"301","Vinsternesvatnet",63.2339102959767,8.33556473833341,"NVE:vatnLnr:2168",2168
"302","Gjerdavatnet",63.3149353676029,8.43125205430028,"NVE:vatnLnr:36421",36421
"303","Øvre Ulvsnesvatnet",63.3439192583154,8.63951537572565,"NVE:vatnLnr:36392",36392
"304","Nedre Ulvsnesvatnet",63.3492309628831,8.66046589888325,"NVE:vatnLnr:36382",36382
"305","Igltjønna",63.0580609887507,9.22132828050331,"NVE:vatnLnr:37968",37968
"306","Isvatnet",63.0574484932207,9.30057697804077,"NVE:vatnLnr:37969",37969
